name,id,type1,type2,hp,attack,defense,special-attack,special-defense,speed,image
bulbasaur,1,grass,poison,45,49,49,65,65,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
ivysaur,2,grass,poison,60,62,63,80,80,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
venusaur,3,grass,poison,80,82,83,100,100,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
charmander,4,fire,,39,52,43,60,50,65,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
charmeleon,5,fire,,58,64,58,80,65,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
charizard,6,fire,flying,78,84,78,109,85,100,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
squirtle,7,water,,44,48,65,50,64,43,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
wartortle,8,water,,59,63,80,65,80,58,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
blastoise,9,water,,79,83,100,85,105,78,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
caterpie,10,bug,,45,30,35,20,20,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
metapod,11,bug,,50,20,55,25,25,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
butterfree,12,bug,flying,60,45,50,90,80,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
weedle,13,bug,poison,40,35,30,20,20,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
kakuna,14,bug,poison,45,25,50,25,25,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
beedrill,15,bug,poison,65,90,40,45,80,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
pidgey,16,normal,flying,40,45,40,35,35,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
pidgeotto,17,normal,flying,63,60,55,50,50,71,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
pidgeot,18,normal,flying,83,80,75,70,70,101,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
