Rank,Pokemon,Usage %,Raw,Raw %,Real,Real %
1,Great Tusk,40.06078,553668.0,27.532,430990.0,27.164
2,Kingambit,25.95581,388842.0,19.336,261359.0,16.473
3,Gholdengo,23.36103,388320.0,19.31,295406.0,18.619
4,Ogerpon-Wellspring,20.84207,244961.0,12.181,193932.0,12.223
5,Raging Bolt,20.12939,258965.0,12.877,196057.0,12.357
6,Ting-Lu,20.11015,117320.0,5.834,100546.0,6.337
7,Dragonite,18.30812,244075.0,12.137,178823.0,11.271
8,Zamazenta,18.24226,192863.0,9.59,142594.0,8.987
9,Slowking-Galar,17.95596,259242.0,12.891,216479.0,13.644
10,Kyurem,17.25102,191370.0,9.516,149606.0,9.429
11,Landorus-Therian,17.04063,237695.0,11.82,209623.0,13.212
12,Dragapult,16.76058,323782.0,16.101,252403.0,15.908
13,Palafin,15.91718,164836.0,8.197,150658.0,9.496
14,Gliscor,13.06855,244586.0,12.162,204450.0,12.886
15,Alomomola,12.75306,140361.0,6.98,115138.0,7.257
16,Iron Valiant,12.57858,277479.0,13.798,199202.0,12.555
17,Samurott-Hisui,12.28603,220696.0,10.974,195609.0,12.329
18,Iron Moth,12.03593,213367.0,10.61,161775.0,10.196
19,Moltres,10.34282,115094.0,5.723,97198.0,6.126
20,Roaring Moon,10.23739,226107.0,11.244,163030.0,10.275
21,Pecharunt,9.78115,61683.0,3.067,50396.0,3.176
22,Corviknight,9.39993,228269.0,11.351,186739.0,11.77
23,Darkrai,8.84775,168751.0,8.391,131645.0,8.297
24,Iron Treads,8.81101,165747.0,8.242,137033.0,8.637
25,Clefable,8.49194,103586.0,5.151,81270.0,5.122
26,Blissey,8.44742,63632.0,3.164,48849.0,3.079
27,Dondozo,8.20409,90099.0,4.48,65893.0,4.153
28,Cinderace,8.17268,211778.0,10.531,164107.0,10.343
29,Zapdos,8.00287,159322.0,7.923,135463.0,8.538
30,Garganacl,7.09734,137846.0,6.855,109059.0,6.874
31,Iron Crown,6.27897,146813.0,7.301,119881.0,7.556
32,Glimmora,5.60702,183389.0,9.119,162678.0,10.253
33,Araquanid,5.33959,65081.0,3.236,61521.0,3.877
34,Primarina,4.99273,122986.0,6.116,99081.0,6.245
35,Hatterene,4.87965,149658.0,7.442,116662.0,7.353
36,Weezing-Galar,4.48994,40401.0,2.009,33628.0,2.119
37,Deoxys-Speed,4.40703,81723.0,4.064,68317.0,4.306
38,Tinkaton,4.33372,56992.0,2.834,49070.0,3.093
39,Meowscarada,4.25673,163827.0,8.147,132708.0,8.364
40,Okidogi,4.24204,22269.0,1.107,17668.0,1.114
41,Enamorus,4.17041,91597.0,4.555,69573.0,4.385
42,Skarmory,4.02102,36330.0,1.807,31408.0,1.98
43,Rillaboom,3.90971,147552.0,7.337,118736.0,7.484
44,Clodsire,3.61346,79548.0,3.956,63625.0,4.01
45,Walking Wake,3.45408,114119.0,5.675,91368.0,5.759
46,Weavile,3.44854,53244.0,2.648,41462.0,2.613
47,Amoonguss,3.44754,29206.0,1.452,22952.0,1.447
48,Sinistcha,3.10018,55719.0,2.771,42694.0,2.691
49,Toxapex,2.87306,73465.0,3.653,59903.0,3.776
50,Lokix,2.73779,55347.0,2.752,45145.0,2.845
51,Ribombee,2.60427,73482.0,3.654,68159.0,4.296
52,Blaziken,2.53209,61177.0,3.042,45472.0,2.866
53,Garchomp,2.41525,96011.0,4.774,79022.0,4.981
54,Ninetales-Alola,2.38121,66876.0,3.326,58746.0,3.703
55,Tornadus-Therian,2.37539,18611.0,0.925,15575.0,0.982
56,Hydrapple,2.30128,45353.0,2.255,34606.0,2.181
57,Pelipper,2.17988,88493.0,4.4,80747.0,5.089
58,Scizor,2.16883,85203.0,4.237,68765.0,4.334
59,Keldeo,2.12929,18473.0,0.919,14987.0,0.945
60,Tyranitar,1.99365,52662.0,2.619,44992.0,2.836
61,Ursaluna,1.95067,60149.0,2.991,47123.0,2.97
62,Talonflame,1.69763,17240.0,0.857,13571.0,0.855
63,Torkoal,1.61837,90779.0,4.514,83863.0,5.286
64,Heatran,1.52051,73904.0,3.675,60061.0,3.785
65,Wo-Chien,1.508,5114.0,0.254,4076.0,0.257
66,Ninetales,1.44777,29236.0,1.454,26113.0,1.646
67,Excadrill,1.42302,43841.0,2.18,34614.0,2.182
68,Ogerpon,1.41924,17732.0,0.882,14003.0,0.883
69,Bronzong,1.359,9218.0,0.458,7663.0,0.483
70,Volcanion,1.25149,23624.0,1.175,19272.0,1.215
71,Latias,1.24993,33014.0,1.642,24265.0,1.529
